date,cash_type,card,money,coffee_name,time,hour,day,month,month_num
2024-03-01,card,ANON-0000-0000-0001,38.7,Latte,10:15:50,10,Friday,March,3
2024-03-01,card,ANON-0000-0000-0002,38.7,Hot Chocolate,12:19:22,12,Friday,March,3
2024-03-01,card,ANON-0000-0000-0002,38.7,Hot Chocolate,12:20:18,12,Friday,March,3
2024-03-01,card,ANON-0000-0000-0003,28.9,Americano,13:46:33,13,Friday,March,3
2024-03-01,card,ANON-0000-0000-0004,38.7,Latte,13:48:14,13,Friday,March,3
2024-03-01,card,ANON-0000-0000-0005,33.8,Americano with Milk,15:39:47,15,Friday,March,3
2024-03-01,card,ANON-0000-0000-0006,38.7,Hot Chocolate,16:19:02,16,Friday,March,3
2024-03-01,card,ANON-0000-0000-0007,33.8,Americano with Milk,18:39:03,18,Friday,March,3
2024-03-01,card,ANON-0000-0000-0008,38.7,Cocoa,19:22:01,19,Friday,March,3
2024-03-01,card,ANON-0000-0000-0008,33.8,Americano with Milk,19:23:15,19,Friday,March,3
2024-03-01,card,ANON-0000-0000-0009,33.8,Americano with Milk,19:29:17,19,Friday,March,3
2024-03-02,card,ANON-0000-0000-0010,28.9,Americano,10:22:06,10,Saturday,March,3
2024-03-02,cash,,40.0,Latte,10:30:35,10,Saturday,March,3
2024-03-02,card,ANON-0000-0000-0011,33.8,Americano with Milk,10:41:41,10,Saturday,March,3
2024-03-02,card,ANON-0000-0000-0012,33.8,Americano with Milk,11:59:45,11,Saturday,March,3
2024-03-02,card,ANON-0000-0000-0013,28.9,Americano,14:38:35,14,Saturday,March,3
2024-03-02,card,ANON-0000-0000-0014,33.8,Americano with Milk,16:37:24,16,Saturday,March,3
2024-03-02,card,ANON-0000-0000-0004,28.9,Americano,17:34:54,17,Saturday,March,3
2024-03-03,cash,,40.0,Latte,10:10:43,10,Sunday,March,3
2024-03-03,card,ANON-0000-0000-0015,38.7,Latte,10:27:18,10,Sunday,March,3
2024-03-03,card,ANON-0000-0000-0016,28.9,Cortado,11:33:56,11,Sunday,March,3
2024-03-03,card,ANON-0000-0000-0012,28.9,Americano,12:26:56,12,Sunday,March,3
2024-03-03,card,ANON-0000-0000-0017,38.7,Hot Chocolate,13:09:36,13,Sunday,March,3
2024-03-03,card,ANON-0000-0000-0018,38.7,Cocoa,17:06:40,17,Sunday,March,3
2024-03-03,card,ANON-0000-0000-0019,28.9,Cortado,17:08:45,17,Sunday,March,3
2024-03-03,card,ANON-0000-0000-0020,33.8,Americano with Milk,18:03:23,18,Sunday,March,3
2024-03-03,card,ANON-0000-0000-0020,33.8,Americano with Milk,18:04:27,18,Sunday,March,3
2024-03-03,card,ANON-0000-0000-0020,38.7,Hot Chocolate,18:08:04,18,Sunday,March,3
2024-03-04,card,ANON-0000-0000-0001,38.7,Latte,10:03:51,10,Monday,March,3
2024-03-04,card,ANON-0000-0000-0021,38.7,Latte,10:54:50,10,Monday,March,3
2024-03-04,card,ANON-0000-0000-0012,33.8,Americano with Milk,11:05:16,11,Monday,March,3
2024-03-04,card,ANON-0000-0000-0022,24.0,Espresso,14:04:37,14,Monday,March,3
2024-03-05,card,ANON-0000-0000-0001,38.7,Latte,09:59:52,9,Tuesday,March,3
2024-03-05,card,ANON-0000-0000-0023,38.7,Latte,14:34:55,14,Tuesday,March,3
2024-03-05,card,ANON-0000-0000-0024,38.7,Latte,17:34:06,17,Tuesday,March,3
2024-03-05,card,ANON-0000-0000-0025,38.7,Hot Chocolate,17:35:25,17,Tuesday,March,3
2024-03-05,card,ANON-0000-0000-0026,38.7,Cocoa,17:36:28,17,Tuesday,March,3
2024-03-05,card,ANON-0000-0000-0027,38.7,Hot Chocolate,17:37:13,17,Tuesday,March,3
2024-03-05,card,ANON-0000-0000-0009,38.7,Hot Chocolate,17:38:09,17,Tuesday,March,3
2024-03-05,card,ANON-0000-0000-0028,28.9,Cortado,17:56:15,17,Tuesday,March,3
2024-03-05,card,ANON-0000-0000-0028,38.7,Hot Chocolate,18:01:31,18,Tuesday,March,3
2024-03-06,cash,,35.0,Americano with Milk,12:30:27,12,Wednesday,March,3
2024-03-06,card,ANON-0000-0000-0012,28.9,Americano,13:24:07,13,Wednesday,March,3
2024-03-06,card,ANON-0000-0000-0012,28.9,Cortado,13:25:14,13,Wednesday,March,3
2024-03-06,card,ANON-0000-0000-0029,38.7,Cappuccino,14:52:01,14,Wednesday,March,3
2024-03-06,card,ANON-0000-0000-0029,38.7,Cappuccino,14:53:18,14,Wednesday,March,3
2024-03-07,cash,,40.0,Latte,10:08:58,10,Thursday,March,3
2024-03-07,card,ANON-0000-0000-0030,38.7,Hot Chocolate,10:18:40,10,Thursday,March,3
